Gen	MaxFit	AvgFit	Diversity
329	0.7900	0.7751	1.49e-02
330	0.7900	0.7677	2.23e-02
331	0.7800	0.7700	1.00e-02
332	0.7900	0.7749	1.51e-02
333	0.7900	0.7724	1.76e-02
334	0.7900	0.7754	1.46e-02
335	0.7900	0.7735	1.65e-02
336	0.7800	0.7684	1.16e-02
337	0.7800	0.7732	6.80e-03
338	0.7800	0.7746	5.40e-03
339	0.7900	0.7749	1.51e-02
340	0.7900	0.7784	1.16e-02
341	0.8000	0.7849	1.51e-02
342	0.7900	0.7847	5.30e-03
343	0.7900	0.7860	4.00e-03
344	0.7900	0.7842	5.80e-03
345	0.7900	0.7841	5.90e-03
346	0.8000	0.7836	1.64e-02
347	0.8000	0.7833	1.67e-02
348	0.8000	0.7945	5.50e-03
349	0.8000	0.7936	6.40e-03
350	0.8100	0.7931	1.69e-02
351	0.8100	0.8001	9.90e-03
352	0.8100	0.8043	5.70e-03
353	0.8100	0.8045	5.50e-03
354	0.8100	0.8026	7.40e-03
355	0.8200	0.8039	1.61e-02
356	0.8100	0.8047	5.30e-03
357	0.8200	0.8032	1.68e-02
358	0.8200	0.8035	1.65e-02
359	0.8300	0.8146	1.54e-02
360	0.8300	0.8016	2.84e-02
361	0.8200	0.8048	1.52e-02
362	0.8200	0.8129	7.10e-03
363	0.8200	0.8125	7.50e-03
364	0.8200	0.8138	6.20e-03
365	0.8200	0.8151	4.90e-03
366	0.8200	0.8146	5.40e-03
367	0.8200	0.8142	5.80e-03
368	0.8200	0.8142	5.80e-03
369	0.8200	0.8140	6.00e-03
370	0.8200	0.8145	5.50e-03
371	0.8200	0.8130	7.00e-03
372	0.8300	0.8144	1.56e-02
373	0.8200	0.8141	5.90e-03
374	0.8200	0.8137	6.30e-03
375	0.8200	0.8127	7.30e-03
376	0.8200	0.8135	6.50e-03
377	0.8200	0.8132	6.80e-03
378	0.8200	0.8150	5.00e-03
379	0.8200	0.8137	6.30e-03
380	0.8200	0.8144	5.60e-03
381	0.8200	0.8139	6.10e-03
382	0.8200	0.8144	5.60e-03
383	0.8200	0.8145	5.50e-03
384	0.8200	0.8127	7.30e-03
385	0.8200	0.8138	6.20e-03
386	0.8200	0.8133	6.70e-03
387	0.8200	0.8132	6.80e-03
388	0.8200	0.8131	6.90e-03
389	0.8200	0.8143	5.70e-03
390	0.8200	0.8132	6.80e-03
391	0.8200	0.8147	5.30e-03
392	0.8200	0.8144	5.60e-03
393	0.8200	0.8130	7.00e-03
394	0.8200	0.8128	7.20e-03
395	0.8200	0.8133	6.70e-03
396	0.8200	0.8151	4.90e-03
397	0.8200	0.8145	5.50e-03
398	0.8300	0.8134	1.66e-02
399	0.8300	0.8150	1.50e-02
400	0.8200	0.8155	4.50e-03
401	0.8200	0.8158	4.20e-03
402	0.8200	0.8135	6.50e-03
403	0.8200	0.8128	7.20e-03
404	0.8200	0.8153	4.70e-03
405	0.8200	0.8145	5.50e-03
406	0.8200	0.8136	6.40e-03
407	0.8200	0.8142	5.80e-03
408	0.8200	0.8138	6.20e-03
