Gen	MaxFit	AvgFit	Diversity
284	0.3267	0.3244	2.24e-03
285	0.3267	0.3245	2.22e-03
286	0.3267	0.3248	1.83e-03
287	0.3300	0.3246	5.37e-03
288	0.3300	0.3247	5.28e-03
289	0.3300	0.3264	3.66e-03
290	0.3300	0.3281	1.91e-03
291	0.3300	0.3282	1.81e-03
292	0.3300	0.3279	2.14e-03
293	0.3300	0.3281	1.94e-03
294	0.3300	0.3278	2.21e-03
295	0.3300	0.3278	2.23e-03
296	0.3300	0.3280	2.02e-03
297	0.3300	0.3280	1.97e-03
298	0.3300	0.3281	1.92e-03
299	0.3300	0.3280	1.97e-03
300	0.3300	0.3280	2.03e-03
301	0.3300	0.3279	2.14e-03
302	0.3300	0.3280	1.97e-03
303	0.3300	0.3280	1.97e-03
304	0.3300	0.3281	1.93e-03
305	0.3300	0.3279	2.09e-03
306	0.3300	0.3281	1.91e-03
307	0.3300	0.3280	2.03e-03
308	0.3300	0.3280	2.03e-03
309	0.3300	0.3280	1.99e-03
310	0.3300	0.3282	1.84e-03
311	0.3300	0.3280	2.04e-03
312	0.3300	0.3280	1.99e-03
313	0.3300	0.3279	2.07e-03
314	0.3300	0.3281	1.93e-03
315	0.3300	0.3277	2.31e-03
316	0.3300	0.3280	2.00e-03
317	0.3300	0.3279	2.10e-03
318	0.3300	0.3276	2.37e-03
319	0.3300	0.3277	2.28e-03
320	0.3300	0.3280	1.99e-03
321	0.3300	0.3283	1.71e-03
322	0.3300	0.3280	2.06e-03
323	0.3300	0.3282	1.82e-03
324	0.3300	0.3281	1.90e-03
325	0.3300	0.3282	1.81e-03
326	0.3300	0.3280	2.00e-03
327	0.3300	0.3281	1.96e-03
328	0.3300	0.3280	2.00e-03
329	0.3300	0.3281	1.88e-03
330	0.3300	0.3281	1.88e-03
331	0.3300	0.3278	2.22e-03
332	0.3300	0.3280	1.98e-03
333	0.3300	0.3282	1.77e-03
334	0.3300	0.3283	1.68e-03
335	0.3300	0.3280	2.04e-03
336	0.3300	0.3278	2.24e-03
337	0.3300	0.3280	2.06e-03
