Gen	FittestString____	MaxFit	AvgFit	Diversity
216	EfOqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
217	ERHqifjCyOYhGscLNq	0.0000	0.0000	2.12e-21
218	EROqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
219	ERHqifjCyOYhGscbNq	0.0000	0.0000	2.12e-21
220	ERHqifjCyOYhGscLNk	0.0000	0.0000	2.12e-21
221	ERHqifnCyOYhGscbNk	0.0000	0.0000	2.12e-21
222	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
223	ERHqifjCyOYhGscLNq	0.0000	0.0000	2.12e-21
224	EROqifjCyOYhGscbNw	0.0000	0.0000	2.12e-21
225	EROqifjCyOYhEscbNk	0.0000	0.0000	2.12e-21
226	EROqifjCyOYhGscbNq	0.0000	0.0000	2.12e-21
227	EROqifjCyOYhGscLNk	0.0000	0.0000	2.12e-21
228	EROqifjCyOYhGscbNq	0.0000	0.0000	2.12e-21
229	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
230	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
231	ERHqifjCyOYhGscLNw	0.0000	0.0000	2.12e-21
232	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
233	EROqifjCyOYhGscbNw	0.0000	0.0000	2.12e-21
234	EROqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
235	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
236	ERHqifjCyOYhGscbNw	0.0000	0.0000	2.12e-21
237	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
238	ERHqifjCyOYhGscbNq	0.0000	0.0000	2.12e-21
239	ERHqifjCyOYfGscbNq	0.0000	0.0000	2.12e-21
240	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
241	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
242	EROqifjCyOYhGscLNq	0.0000	0.0000	2.12e-21
243	EROqifjCyOYhGscbNq	0.0000	0.0000	2.12e-21
244	ETOqifjCyOYhGscbNq	0.0000	0.0000	2.12e-21
245	ETHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
246	EfOqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
247	EROqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
248	ETHqifjryOYhGscLNq	0.0556	0.0003	5.53e-02
249	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
250	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
251	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
252	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
253	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
254	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
255	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
256	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
257	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
258	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
259	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
260	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
261	ERHqifjCyOYhGScbNk	0.0000	0.0000	2.12e-21
262	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
263	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
264	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
265	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
266	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
267	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
268	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
269	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
270	ERHqifjCyOYhGscbNk	0.0000	0.0000	2.12e-21
